Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Телефон 1,Телефон 2,Телефон 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,YouTube,Широта,Долгота,2GIS URL
Почта России,почтомат,Постаматы,"Большая Декабрьская, 3 ст1",Г (фиолетовая) линия; Г-6 павильон; 1 этаж,123022,,Пресненский район,Москва,,Москва,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.764194,37.558254,https://2gis.com/firm/70000001063114696
PickPoint,постамат,Постаматы,"Звенигородское шоссе, 4","Г (фиолетовая) линия; Г-16, Г-17 павильон; 1 этаж",123022,,Пресненский район,Москва,,Москва,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.764456,37.558482,https://2gis.com/firm/70000001032236337
PickPoint,постамат,Постаматы,"Доброслободская, 21",2 этаж,105066,,Басманный район,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.765438,37.675451,https://2gis.com/firm/70000001061280361
OZON box,автоматизированный пункт выдачи,Постаматы,"Павла Корчагина, 2",1 этаж; универсам Пятёрочка,129626,,Алексеевский район,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,88002347000,,,http://www.ozon.ru,,,https://twitter.com/ozon_ru,https://vk.com/ozon,,55.810387,37.65577,https://2gis.com/firm/70000001034482936
OZON box,автоматизированный пункт выдачи,Постаматы,"Ленинский проспект, 39/1",2 этаж,119334,,Гагаринский район,Москва,,Москва,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 09:00-21:00; Вс: 10:00-20:00,+03:00,88002347000,,,http://www.ozon.ru,,,https://twitter.com/ozon_ru,https://vk.com/ozon,,55.70742,37.582556,https://2gis.com/firm/70000001045951710
OZON box,автоматизированный пункт выдачи,Постаматы,"Усачёва, 29 к3",1 этаж,119048,,Хамовники район,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,88002347000,,,http://www.ozon.ru,,,https://twitter.com/ozon_ru,https://vk.com/ozon,,55.723519,37.565299,https://2gis.com/firm/70000001056458381
СберЛогистика,постамат,Постаматы,"Автозаводская улица, 18",-1 этаж,115280,,Даниловский район,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,88001007269 (единый номер: пн-вс 09:00-21:00),,,http://sberlogistics.ru/?utm_source=posto&utm_medium=2gis&utm_campaign=geo&utm_content=click,,,,https://vk.com/sberlogistic,,55.704805,37.642203,https://2gis.com/firm/70000001057620750
СберЛогистика,постамат,Постаматы,"Комсомольский проспект, 40",1 этаж,119048,,Хамовники район,Москва,,Москва,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-16:00,+03:00,88001007269 (единый номер: пн-вс 09:00-21:00),,,http://sberlogistics.ru/?utm_source=posto&utm_medium=2gis&utm_campaign=geo&utm_content=click,,,,https://vk.com/sberlogistic,,55.722018,37.574307,https://2gis.com/firm/70000001060823230
СберЛогистика,постамат,Постаматы,"улица Вавилова, 3",2 этаж,119334,,Донской район,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,88001007269 (единый номер: пн-вс 09:00-21:00),,,http://sberlogistics.ru/?utm_source=posto&utm_medium=2gis&utm_campaign=geo&utm_content=click,,,,https://vk.com/sberlogistic,,55.7072,37.590399,https://2gis.com/firm/70000001062042084
СберМаркет,автоматизированный пункт выдачи,Постаматы,"Верхняя Красносельская, 3а",1 этаж,107140,,Красносельский район,Москва,,Москва,Россия,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+03:00,84951206000 (единая справочная - пн-вс 8:00-20:00),88002221100 (единая справочная - пн-вс 5:00-00:00),,http://Sbermarket.ru,,,,https://vk.com/sbermarket_ru,,55.78578,37.664663,https://2gis.com/firm/70000001056392608
Почта России,почтомат,Постаматы,"Красноказарменная площадь, 1",1 этаж,111033,,Лефортово район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.758745,37.686756,https://2gis.com/firm/70000001060011033
OmniCDEK,постамат,Постаматы,"Автозаводская улица, 18",-1 этаж,115280,,Даниловский район,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,88007753553,,,http://omnicdek.com,http://cdek.ru,http://omnicdek.ru,,https://vk.com/cdek_express,,55.704849,37.642217,https://2gis.com/firm/70000001054015244
OZON box,автоматизированный пункт выдачи,Постаматы,"Бакунинская, 23-41",,105082,,Басманный район,Москва,,Москва,Россия,Пн: 09:30-10:30; Вт: 09:30-10:30; Ср: 09:30-10:30; Чт: 09:30-10:30; Пт: 09:30-10:30; Сб: 09:30-10:30; Вс: 10:00-22:00,+03:00,88002347000,,,http://www.ozon.ru,,,https://twitter.com/ozon_ru,https://vk.com/ozon,,55.775537,37.684194,https://2gis.com/firm/70000001059908520
СберЛогистика,постамат,Постаматы,"Шмитовский проезд, 16 ст1",1 этаж,123100,,Пресненский район,Москва,,Москва,Россия,Пн: 08:30-19:00; Вт: 08:30-19:00; Ср: 08:30-19:00; Чт: 08:30-19:00; Пт: 08:30-19:00; Сб: 09:00-16:00,+03:00,88001007269 (единый номер: пн-вс 09:00-21:00),,,http://sberlogistics.ru/?utm_source=posto&utm_medium=2gis&utm_campaign=geo&utm_content=click,,,,https://vk.com/sberlogistic,,55.758099,37.548936,https://2gis.com/firm/70000001048956469
Почта России,почтомат,Постаматы,"Каретный Ряд, 5/10 ст2",1 этаж,127006,,Тверской район,Москва,,Москва,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-18:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.772674,37.607852,https://2gis.com/firm/70000001032370886
PickPoint,Постамат №7701-002,Постаматы,"набережная Тараса Шевченко, 23а",1 этаж,121151,,Дорогомилово район,Москва,,Москва,Россия,Пн: 05:30-02:00; Вт: 05:30-02:00; Ср: 05:30-02:00; Чт: 05:30-02:00; Пт: 05:30-02:00; Сб: 05:30-02:00; Вс: 05:30-02:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.74619,37.54625,https://2gis.com/firm/4504128908631956
PickPoint,постамат,Постаматы,"Тимирязевская, 11 к1",1 этаж; магазин Артемида,127422,,Тимирязевский район,Москва,,Москва,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-18:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.81027,37.568738,https://2gis.com/firm/70000001041403168
PickPoint,постамат,Постаматы,"улица Космонавтов, 12",1 этаж,129366,,Алексеевский район,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.821002,37.653169,https://2gis.com/firm/70000001041405009
PickPoint,постамат,Постаматы,"Шарикоподшипниковская улица, 40",,115088,,Южнопортовый район,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.714033,37.678121,https://2gis.com/firm/70000001057246315
OZON box,автоматизированный пункт выдачи,Постаматы,"Красноказарменная улица, 10",1 этаж; детская библиотека №126,111250,,Лефортово район,Москва,,Москва,Россия,Вт: 12:00-21:00; Ср: 12:00-21:00; Чт: 12:00-21:00; Пт: 12:00-21:00; Сб: 12:00-21:00; Вс: 12:00-20:00,+03:00,88002347000,,,http://www.ozon.ru,,,https://twitter.com/ozon_ru,https://vk.com/ozon,,55.757106,37.698649,https://2gis.com/firm/70000001059959348
СберЛогистика,постамат,Постаматы,"Большая Черёмушкинская, 13 ст6",1 этаж,117447,,Котловка район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,88001007269 (единый номер: пн-вс 09:00-21:00),,,http://sberlogistics.ru/?utm_source=posto&utm_medium=2gis&utm_campaign=geo&utm_content=click,,,,https://vk.com/sberlogistic,,55.686916,37.594842,https://2gis.com/firm/70000001048893422
СберЛогистика,постамат,Постаматы,"Бакунинская, 44-48 ст1",,105082,,Басманный район,Москва,,Москва,Россия,Пн: 09:00-19:30; Вт: 09:00-19:30; Ср: 09:00-19:30; Чт: 09:00-19:30; Пт: 09:00-19:30; Сб: 09:00-16:00,+03:00,88001007269 (единый номер: пн-вс 09:00-21:00),,,http://sberlogistics.ru/?utm_source=posto&utm_medium=2gis&utm_campaign=geo&utm_content=click,,,,https://vk.com/sberlogistic,,55.776519,37.687651,https://2gis.com/firm/70000001049020779
Почта России,почтомат,Постаматы,"Нижегородская улица, 50",1 этаж,109052,,Нижегородский район,Москва,,Москва,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.735694,37.7015,https://2gis.com/firm/70000001063432390
OmniCDEK,постамат,Постаматы,"улица Яблочкова, 21а",1 этаж,127322,,Бутырский район,Москва,,Москва,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+03:00,88007753553,,,http://omnicdek.com,http://cdek.ru,http://omnicdek.ru,,https://vk.com/cdek_express,,55.819641,37.578544,https://2gis.com/firm/70000001060173256
OZON box,автоматизированный пункт выдачи,Постаматы,"Хорошёвское шоссе, 15",1 этаж; супермаркет ДИКСИ,123007,,Хорошёвский район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,88002347000,,,http://www.ozon.ru,,,https://twitter.com/ozon_ru,https://vk.com/ozon,,55.775838,37.53321,https://2gis.com/firm/70000001054126374
